2026-06-13 16:30:50,733 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:32:10,597 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:32:10,612 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:32:10,627 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:32:11,023 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 16:32:32,995 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:32:45,435 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 16:32:56,635 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 16:32:57,024 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'learning_goal': '了解卷积神经网络', 'emotional_state': '好奇'}
2026-06-13 16:32:57,049 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:32:57,204 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:32:57,219 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:32:57,255 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:32:57,280 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:32:57,296 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:33:06,658 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:33:09,943 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:33:12,404 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 16:33:12,958 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 16:33:19,759 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 16:33:26,475 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 16:33:27,036 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 16:33:33,168 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 16:33:33,600 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 16:33:34,433 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:33:35,751 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 16:33:46,805 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 16:34:07,855 | INFO | [diagnostic_group] | 正在深度分析输入: '我是一名人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:34:32,433 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'learning_goal': '了解卷积神经网络'}
2026-06-13 16:34:32,458 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:34:32,608 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:34:32,621 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:34:32,663 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:34:32,682 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:34:32,695 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:34:45,262 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:35:11,288 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:35:19,696 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:35:47,985 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:40:34,836 | INFO | [diagnostic_group] | 正在深度分析输入: '我是人文地理的学生，希望详细了解卷积神经网络'
2026-06-13 16:45:29,429 | INFO | [diagnostic_group] | 正在深度分析输入: '你好'
2026-06-13 16:45:44,756 | INFO | [diagnostic_group] | 成功提取并更新画像: {'emotional_state': '正常'}
2026-06-13 16:45:44,780 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:45:45,434 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:45:45,447 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:45:45,497 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:45:45,521 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:45:45,544 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:46:23,278 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:51:06,440 | INFO | [diagnostic_group] | 正在深度分析输入: '我是人文地理的学生，希望了解卷积神经网络'
2026-06-13 16:51:59,191 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'learning_goal': '了解卷积神经网络', 'emotional_state': '好奇'}
2026-06-13 16:51:59,215 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:51:59,850 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:51:59,869 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:51:59,912 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:51:59,931 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:51:59,946 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:52:23,160 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 16:52:32,132 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:52:41,830 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 16:52:46,460 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 16:54:28,908 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 16:54:52,961 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机科学', 'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-13 16:54:52,985 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 16:54:53,143 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 16:54:53,157 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 16:54:53,194 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 16:54:53,208 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 16:54:53,226 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 16:54:58,071 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 16:55:14,650 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 16:56:27,520 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 17:12:37,211 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:16:39,138 | INFO | [diagnostic_group] | 正在深度分析输入: '你好，测试卡住'
2026-06-13 17:16:51,027 | INFO | [diagnostic_group] | 成功提取并更新画像: {'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-13 17:16:51,051 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:16:51,186 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:16:51,197 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:16:51,233 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:16:51,256 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:16:51,272 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:20:42,712 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:21:13,436 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机科学', 'foundation': '一般', 'cognitive_style': '图文驱动', 'learning_goal': '掌握神经网络基础', 'weakness': '梯度下降与反向传播理解困难', 'learning_pace': '速成突破', 'time_budget': '一周集中学习'}
2026-06-13 17:21:13,460 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:21:13,622 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:21:13,634 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:21:13,671 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:21:13,684 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:21:13,699 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:21:48,327 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:22:29,985 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:22:53,709 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 17:22:59,361 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机专业', 'foundation': '一般', 'cognitive_style': '图文驱动', 'learning_goal': '掌握神经网络基础，理解梯度下降与反向传播', 'weakness': '数学基础一般，梯度下降与反向传播理解困难', 'learning_pace': '速成突破', 'time_budget': '大块时间', 'preferred_format': '通俗白话'}
2026-06-13 17:22:59,386 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:22:59,523 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:22:59,536 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:22:59,571 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:22:59,596 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:22:59,610 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:23:22,119 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:24:36,218 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 17:24:52,598 | INFO | [diagnostic_group] | 正在深度分析输入: '我是人文地理专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:25:16,513 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '人文地理', 'foundation': '一般', 'cognitive_style': '图文驱动', 'learning_goal': '一周内掌握神经网络基础', 'weakness': '数学基础一般，不理解梯度下降和反向传播', 'learning_pace': '速成突破', 'time_budget': '大块时间', 'preferred_format': '通俗白话'}
2026-06-13 17:25:16,538 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:25:16,677 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:25:16,691 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:25:16,731 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:25:16,745 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:25:16,761 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:25:53,812 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:27:10,001 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 17:31:05,051 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望更详细地了解循环神经网络，专业一点'
2026-06-13 17:31:34,839 | INFO | [diagnostic_group] | 成功提取并更新画像: {'foundation': '入门', 'learning_goal': '更详细地了解循环神经网络', 'learning_pace': '深度探究', 'preferred_format': '严谨学术'}
2026-06-13 17:31:34,864 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:31:35,022 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:31:35,035 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:31:35,071 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:31:35,092 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:31:35,107 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:31:56,810 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-13 17:32:07,758 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:32:14,646 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-13 17:32:36,558 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-13 17:33:58,012 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 17:43:34,909 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:44:11,989 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机', 'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-13 17:44:12,016 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:44:12,178 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:44:12,191 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:44:12,230 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:44:12,246 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:44:12,262 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:44:37,336 | INFO | [diagnostic_group] | 正在深度分析输入: '我是计算机专业大二学生，正在学习人工智能导论。我的数学基础一般，尤其不理解梯度下降和反向传播。我希望通过图解、代码案例和练习题，在一周内掌握神经网络基础。'
2026-06-13 17:44:52,524 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:45:02,235 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机科学', 'foundation': '入门', 'cognitive_style': '图文驱动', 'learning_goal': '掌握神经网络基础', 'weakness': '梯度下降和反向传播理解困难', 'learning_pace': '速成突破', 'time_budget': '大块时间', 'emotional_state': '迷茫'}
2026-06-13 17:45:02,259 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 17:45:02,392 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 17:45:02,404 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 17:45:02,439 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 17:45:02,456 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 17:45:02,472 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 17:45:24,523 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 17:46:08,455 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 18:17:34,053 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 18:45:01,896 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-13 19:13:08,568 | INFO | [diagnostic_group] | 成功提取并更新画像: {'major': '计算机科学', 'foundation': '一般', 'cognitive_style': '图文驱动', 'learning_goal': '掌握神经网络基础', 'weakness': '数学基础薄弱，不理解梯度下降与反向传播', 'learning_pace': '速成突破', 'time_budget': '一周集中学习', 'emotional_state': '迷茫', 'preferred_format': '通俗白话'}
2026-06-13 19:13:08,593 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-13 19:13:08,738 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-13 19:13:08,753 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-13 19:13:08,790 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-13 19:13:08,804 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-13 19:13:08,818 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-13 19:13:30,221 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-13 19:14:25,767 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-14 13:32:10,964 | INFO | [diagnostic_group] | 正在深度分析输入: '详细讲解一下反向传播'
2026-06-14 13:32:28,456 | INFO | [diagnostic_group] | 成功提取并更新画像: {'foundation': '一般', 'learning_pace': '适中', 'emotional_state': '正常', 'preferred_format': '通俗白话'}
2026-06-14 13:32:28,481 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-14 13:32:28,862 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-14 13:32:28,876 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-14 13:32:28,914 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-14 13:32:28,935 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-14 13:32:28,951 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-14 13:32:57,434 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-14 13:33:06,802 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-14 13:33:28,440 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-14 13:34:20,496 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-14 13:50:50,336 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望详细了解一下反向传播，专业性强一点'
2026-06-14 14:00:30,948 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望详细了解一下反向传播'
2026-06-14 14:19:29,988 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望详细了解反向传播，专业一点'
2026-06-14 14:19:30,012 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-14 14:19:32,664 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-14 14:19:32,677 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-14 14:19:32,712 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-14 14:19:32,727 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-14 14:19:32,741 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-14 14:19:54,491 | INFO | [worker_group] | 正在生成思维导图 Mermaid 结构...
2026-06-14 14:19:56,112 | INFO | [worker_group] | 正在生成代码实操案例...
2026-06-14 14:20:12,974 | INFO | [worker_group] | 正在寻找拓展阅读材料...
2026-06-14 14:20:29,531 | INFO | [worker_group] | 正在生成课程演示文稿 PPT 大纲...
2026-06-14 14:21:45,358 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-14 14:23:08,900 | INFO | [diagnostic_group] | 正在深度分析输入: '为什么卷积神经网络更适合处理图像数据？'
2026-06-14 14:23:08,926 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-14 14:23:09,060 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-14 14:23:09,076 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_ask
2026-06-14 14:23:09,091 | INFO | [worker_group] | 正在基于 RAG 进行个性化答疑...
2026-06-20 02:56:56,505 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望通过更直观的方式学习，比如可交互工具'
2026-06-20 02:56:56,531 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-20 02:57:00,077 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-20 02:57:00,092 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-20 02:57:00,139 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-20 02:57:00,162 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-20 02:57:00,179 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-20 02:57:22,266 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-20 05:21:35,578 | INFO | [diagnostic_group] | 正在深度分析输入: '我希望有更直观的，可互动的教学'
2026-06-20 05:21:35,623 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-20 05:21:37,676 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-20 05:21:37,696 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-20 05:21:37,750 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-20 05:21:37,762 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-20 05:21:37,788 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-20 05:22:39,397 | WARNING | [structured_output] | Native structured output failed, falling back to PydanticOutputParser.
2026-06-20 05:23:09,049 | INFO | [supervisor] | 正在对所有的生成资源进行安全与防幻觉审核...
2026-06-21 17:13:29,894 | INFO | [diagnostic_group] | 正在深度分析输入: 'test'
2026-06-21 17:13:29,939 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 17:13:33,064 | INFO | [diagnostic_group] | 成功从知识库检索到 3 个相关知识块！
2026-06-21 17:13:33,086 | INFO | [diagnostic_group] | 识别到意图并流转至子模块: want_to_learn
2026-06-21 17:13:33,148 | INFO | [worker_group] | 正在根据画像规划学习路线...
2026-06-21 17:13:33,159 | INFO | [worker_group] | 正在根据画像动态生成定制化文档...
2026-06-21 17:13:33,182 | INFO | [worker_group] | 正在根据 RAG 知识库出题...
2026-06-21 19:06:32,035 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 19:06:32,058 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 19:06:32,063 | ERROR | [diagnostic_group] | 检索系统异常
Traceback (most recent call last):
  File "C:\Users\xtzzz\Desktop\document\project\cnsoftcup\src\agents\diagnostic_group.py", line 217, in diagnoser_node
    docs = retriever.invoke(last_message)
  File "C:\Users\xtzzz\Desktop\document\project\cnsoftcup\tests\test_diagnostic_guard.py", line 93, in invoke
    raise RuntimeError("Database connection lost")
RuntimeError: Database connection lost
2026-06-21 19:07:13,927 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 19:07:13,948 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 19:07:13,953 | ERROR | [diagnostic_group] | 检索系统异常
Traceback (most recent call last):
  File "C:\Users\xtzzz\Desktop\document\project\cnsoftcup\src\agents\diagnostic_group.py", line 217, in diagnoser_node
    docs = retriever.invoke(last_message)
  File "C:\Users\xtzzz\Desktop\document\project\cnsoftcup\tests\test_diagnostic_guard.py", line 93, in invoke
    raise RuntimeError("Database connection lost")
RuntimeError: Database connection lost
2026-06-21 20:24:58,520 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-21 20:24:58,544 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-22 00:38:43,350 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-22 00:38:43,374 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:06:43,973 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:06:44,001 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:07:28,704 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:07:28,728 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:10:00,711 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:10:00,735 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:20:49,402 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 03:20:49,429 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
2026-06-23 18:38:13,777 | INFO | [diagnostic_group] | 正在提取关键学习需求并执行检索...
